Pořadové číslo;Politický subjekt;Datum publikování;Datum sběru;Odkaz na zdroj;Typ vizualizace;Manipulace osou;;;Porušení konvence;;Chybějící prvky;;;;Přebývající a zmatečné prvky;;
;;;;;;Podseknutá osa;Dvojitá osa;Převrácená osa;Nevhodné řazení;Nevhodné barvy;Chybějící osa či její popis;Neuvedení zdroje;Chybějící název (téma);Absence legendy;3D efekt;Nevhodná vizualizace;Zmatečná vizualizace
158;ODS;27.10.2015;24.02.2023;https://www.facebook.com/ods.cz/photos/10153738000277700 ;Koláčový;X;X;X;Y;N;X;Y;N;N;M;N;N
159;ODS;27.10.2015;24.02.2023;https://www.facebook.com/ods.cz/photos/10153738000267700 ;Koláčový;X;X;X;N;N;X;Y;N;N;M;N;N
160;ODS;27.10.2015;24.02.2023;https://www.facebook.com/ods.cz/photos/10153738000262700 ;Koláčový;X;X;X;N;N;X;Y;N;N;M;N;N
161;ODS;27.10.2015;24.02.2023;https://www.facebook.com/ods.cz/photos/10153737998967700 ;Sloupcový;N;N;N;N;N;N;Y;N;N;N;N;N
162;ODS;27.10.2015;24.02.2023;https://www.facebook.com/ods.cz/photos/10153737998962700 ;Koláčový;X;X;X;Y;N;X;Y;N;N;M;N;N
163;ODS;27.10.2015;24.02.2023;https://www.facebook.com/ods.cz/photos/10153737998922700 ;Koláčový;X;X;X;N;N;X;Y;N;N;M;N;N
164;ODS;27.10.2015;24.02.2023;https://www.facebook.com/ods.cz/photos/10153737998822700 ;Koláčový;X;X;X;N;N;X;Y;N;N;M;N;N
165;ODS;27.10.2015;24.02.2023;https://www.facebook.com/ods.cz/photos/10153737998817700 ;Koláčový;X;X;X;Y;N;X;Y;N;N;M;N;N
166;ODS;27.10.2015;24.02.2023;https://www.facebook.com/ods.cz/photos/10153737998807700 ;Koláčový;X;X;X;N;N;X;Y;N;N;M;N;N
167;ODS;23.09.2015;24.02.2023;https://www.facebook.com/ods.cz/photos/10153678567922700 ;Sloupcový;N;Y;N;N;N;Y;Y;N;N;N;N;Y
168;ODS;20.09.2015;24.02.2023;https://www.facebook.com/ods.cz/photos/10153672100862700 ;Sloupcový;N;Y;N;N;N;Y;Y;N;N;N;N;Y
169;ODS;17.09.2015;24.02.2023;https://www.facebook.com/ods.cz/photos/10153665345097700 ;Sloupcový;Y;N;N;N;N;Y;N;Y;N;N;N;N
170;ODS;20.07.2015;24.02.2023;https://www.facebook.com/ods.cz/photos/10153524434622700 ;Sloupcový;N;N;N;N;N;Y;N;Y;N;N;N;N
171;ODS;17.07.2015;24.02.2023;https://www.facebook.com/ods.cz/photos/10153517020222700 ;Sloupcový;N;N;N;N;N;N;N;N;N;N;N;N
172;ODS;30.06.2015;24.02.2023;https://www.facebook.com/ods.cz/photos/10153475785927700 ;Liniový;N;N;N;N;N;N;N;N;N;N;N;N
173;ODS;29.06.2015;24.02.2023;https://www.facebook.com/ods.cz/photos/10153472546527700 ;Sloupcový;N;N;N;Y;N;N;N;N;N;N;N;N
174;ODS;25.06.2015;24.02.2023;https://www.facebook.com/ods.cz/photos/10153462763122700 ;Sloupcový;N;N;N;Y;N;N;N;N;N;N;N;N
175;ODS;23.06.2015;24.02.2023;https://www.facebook.com/ods.cz/photos/10153458358177700 ;Sloupcový;M;N;N;N;N;Y;N;N;Y;N;N;Y
176;ODS;22.06.2015;24.02.2023;https://www.facebook.com/ods.cz/photos/10153454526057700 ;Koláčový;X;X;X;M;N;X;Y;N;N;N;Y;N
177;ODS;22.06.2015;24.02.2023;https://www.facebook.com/ods.cz/photos/10153453952772700 ;Sloupcový;N;N;N;N;N;N;N;N;N;Y;N;N
178;ODS;21.06.2015;24.02.2023;https://www.facebook.com/ods.cz/photos/10153451312742700 ;Sloupcový;Y;N;N;N;N;N;Y;N;N;N;N;N
179;ODS;17.06.2015;24.02.2023;https://www.facebook.com/ods.cz/photos/10153440767842700 ;Sloupcový;N;N;N;Y;N;N;Y;N;N;N;N;N
180;ODS;16.06.2015;24.02.2023;https://www.facebook.com/ods.cz/photos/10153438694277700 ;Sloupcový;N;N;N;Y;N;N;Y;N;N;N;N;N
181;ODS;15.06.2015;24.02.2023;https://www.facebook.com/ods.cz/photos/10153436775952700 ;Koláčový;X;X;X;N;Y;X;Y;N;N;N;N;N
182;ODS;09.06.2015;24.02.2023;https://www.facebook.com/ods.cz/photos/10153423672907700 ;Koláčový;X;X;X;Y;Y;X;Y;N;N;N;N;N
183;ODS;08.06.2015;24.02.2023;https://www.facebook.com/ods.cz/photos/10153421622177700 ;Koláčový;X;X;X;Y;Y;X;Y;N;N;N;N;N
184;ODS;07.06.2015;24.02.2023;https://www.facebook.com/ods.cz/photos/10153419705022700 ;Koláčový;X;X;X;Y;Y;X;Y;N;N;N;N;N
185;ODS;28.05.2015;24.02.2023;https://www.facebook.com/ods.cz/photos/10153381405962700 ;Sloupcový;N;N;N;N;N;N;N;N;N;N;N;N
186;ODS;26.05.2015;24.02.2023;https://www.facebook.com/ods.cz/photos/10153373312002700 ;Sloupcový;N;N;N;N;N;N;N;N;N;Y;N;N
187;ODS;30.04.2015;24.02.2023;https://www.facebook.com/ods.cz/photos/10153315318077700 ;Koláčový;X;X;X;N;Y;X;Y;N;N;N;N;N
188;ODS;28.04.2015;24.02.2023;https://www.facebook.com/ods.cz/photos/10153310689087700 ;Koláčový;X;X;X;Y;Y;X;Y;N;N;N;N;N
189;ODS;27.04.2015;24.02.2023;https://www.facebook.com/ods.cz/photos/10153308333212700 ;Koláčový;X;X;X;N;Y;X;Y;N;N;N;N;N
190;ODS;22.04.2015;24.02.2023;https://www.facebook.com/ods.cz/photos/10153294776192700 ;Sloupcový;Y;N;N;N;N;N;N;N;N;N;N;N
191;ODS;12.04.2015;24.02.2023;https://www.facebook.com/ods.cz/photos/10153267828397700 ;Sloupcový;N;N;N;N;N;N;Y;N;N;N;N;N
192;ODS;01.04.2015;24.02.2023;https://www.facebook.com/ods.cz/photos/10153238401732700 ;Sloupcový;N;N;N;N;N;N;N;N;N;N;Y;N
193;ODS;26.03.2015;24.02.2023;https://www.facebook.com/ods.cz/photos/10153224441512700 ;Koláčový;X;X;X;Y;Y;X;N;N;N;N;N;N
194;ODS;24.03.2015;24.02.2023;https://www.facebook.com/ods.cz/photos/10153219560102700 ;Liniový;N;N;N;N;N;N;N;N;N;N;N;N
195;ODS;18.03.2015;24.02.2023;https://www.facebook.com/ods.cz/photos/10153204511932700 ;Sloupcový;N;N;N;N;N;N;N;N;N;N;N;N
196;ODS;02.03.2015;24.02.2023;https://www.facebook.com/ods.cz/photos/10153164209657700 ;Sloupcový;N;N;N;N;N;N;N;N;N;N;Y;N
197;ODS;17.02.2015;24.02.2023;https://www.facebook.com/ods.cz/photos/10153133221692700 ;Sloupcový;Y;N;N;N;N;Y;Y;N;N;N;Y;N
198;ODS;10.02.2015;24.02.2023;https://www.facebook.com/ods.cz/photos/10153116172707700 ;Sloupcový;Y;N;N;N;N;N;Y;N;N;N;N;N
199;ODS;09.02.2015;25.02.2023;https://www.facebook.com/ods.cz/photos/10153114190527700 ;Sloupcový;N;N;N;N;N;Y;Y;N;N;N;Y;N
200;ODS;06.02.2015;25.02.2023;https://www.facebook.com/ods.cz/photos/10153106886747700 ;Sloupcový;N;N;N;N;N;Y;Y;N;N;N;N;N
201;ODS;08.01.2015;25.02.2023;https://www.facebook.com/ods.cz/photos/10153040359637700 ;Sloupcový;N;N;N;N;N;Y;Y;N;N;N;Y;N
202;ODS;16.12.2014;25.02.2023;https://www.facebook.com/ods.cz/photos/10152953582237700 ;Sloupcový;N;N;N;N;N;Y;Y;N;N;N;N;N
203;ODS;07.12.2014;25.02.2023;https://www.facebook.com/ods.cz/photos/10152933089177700 ;Koláčový;X;X;X;M;N;X;Y;N;N;N;N;N
204;ODS;07.12.2014;25.02.2023;https://www.facebook.com/ods.cz/photos/10152933089172700 ;Liniový;Y;N;N;N;N;N;Y;N;N;N;N;N
205;ODS;11.11.2014;25.02.2023;https://www.facebook.com/ods.cz/photos/10152874900097700 ;Sloupcový;N;N;N;N;N;N;Y;N;Y;N;N;N
206;ODS;22.10.2014;25.02.2023;https://www.facebook.com/ods.cz/photos/10152829424747700 ;Sloupcový;N;N;N;N;N;Y;N;N;N;Y;N;N
207;ODS;12.10.2014;25.02.2023;https://www.facebook.com/ods.cz/photos/10152804708592700 ;Sloupcový;N;N;N;N;N;Y;Y;N;N;N;N;N
208;ODS;09.10.2014;25.02.2023;https://www.facebook.com/ods.cz/photos/10152795837407700 ;Sloupcový;Y;Y;N;N;N;Y;Y;Y;N;Y;Y;Y
209;ODS;06.10.2014;25.02.2023;https://www.facebook.com/ods.cz/photos/10152786944347700 ;Liniový;Y;N;N;N;N;N;N;Y;N;N;N;N
210;ODS;05.10.2014;25.02.2023;https://www.facebook.com/ods.cz/photos/10152783112352700 ;Sloupcový;N;N;N;N;N;N;Y;N;N;N;N;N
211;ODS;04.10.2014;25.02.2023;https://www.facebook.com/ods.cz/photos/10152781066742700 ;Sloupcový;N;N;N;N;N;N;Y;N;N;N;N;N
212;ODS;25.09.2014;25.02.2023;https://www.facebook.com/ods.cz/photos/10152758656512700 ;Sloupcový;Y;N;N;N;N;Y;Y;N;N;N;Y;N
213;ODS;08.06.2014;25.02.2023;https://www.facebook.com/ods.cz/photos/10152501086647700 ;Liniový;Y;N;N;N;N;N;N;N;N;N;N;N
214;ODS;29.05.2014;25.02.2023;https://www.facebook.com/ods.cz/photos/10152479072852700;Sloupcový;N;N;N;N;N;Y;N;N;Y;N;N;N
215;ODS;12.05.2014;25.02.2023;https://www.facebook.com/ods.cz/photos/10152441098112700 ;Sloupcový;N;N;N;N;N;Y;N;N;N;N;N;N
216;ODS;05.05.2014;25.02.2023;https://www.facebook.com/ods.cz/photos/10152426273422700 ;Sloupcový;N;N;N;N;N;N;N;N;N;N;N;N
217;ODS;02.05.2014;25.02.2023;https://www.facebook.com/ods.cz/photos/10152420142692700 ;Liniový;N;N;N;N;N;N;N;Y;Y;N;N;N
218;ODS;16.04.2014;25.02.2023;https://www.facebook.com/ods.cz/photos/10152380474897700 ;Sloupcový;N;N;N;N;N;Y;N;N;N;N;Y;N
219;ODS;25.03.2014;25.02.2023;https://www.facebook.com/ods.cz/photos/10152333540952700 ;Sloupcový;N;N;N;N;N;Y;N;N;N;N;N;N
220;ODS;21.02.2014;25.02.2023;https://www.facebook.com/ods.cz/photos/10152263348822700 ;Sloupcový;N;N;N;N;N;Y;Y;Y;N;N;N;N
221;ODS;21.10.2013;25.02.2023;https://www.facebook.com/ods.cz/photos/10151969123072700 ;Sloupcový;N;N;N;N;N;Y;N;N;N;N;N;N
222;ODS;27.09.2013;25.02.2023;https://www.facebook.com/ods.cz/photos/10151917147052700 ;Sloupcový;N;N;N;N;N;Y;N;N;N;Y;N;N
223;ODS;11.09.2013;25.02.2023;https://www.facebook.com/ods.cz/photos/10151882513202700 ;Sloupcový;N;N;N;N;N;N;N;N;N;N;Y;Y
224;ODS;23.08.2013;25.02.2023;https://www.facebook.com/ods.cz/photos/10151841870312700 ;Sloupcový;N;N;N;N;N;Y;N;N;N;N;N;N
225;ODS;24.03.2013;25.02.2023;https://www.facebook.com/ods.cz/photos/10151553418997700 ;Sloupcový;Y;N;N;N;N;N;Y;N;N;N;Y;N
226;ODS;10.10.2012;25.02.2023;https://www.facebook.com/ods.cz/photos/10151241706722700 ;Sloupcový;Y;N;N;N;N;N;N;N;N;N;Y;N
227;ODS;21.02.2023;23.06.2023;https://www.facebook.com/ods.cz/photos/pb.100044198901294.-2207520000./10160665216997700/?type=3;Sloupcový;N;N;N;N;N;Y;Y;N;N;N;N;N
228;ODS;22.02.2023;23.06.2023;https://www.facebook.com/ods.cz/photos/pb.100044198901294.-2207520000./10160666402267700/?type=3;Sloupcový;N;N;N;N;N;Y;Y;N;N;N;N;N
229;ODS;28.02.2023;23.06.2023;https://www.facebook.com/ods.cz/photos/pb.100044198901294.-2207520000./10160679024082700/?type=3;Sloupcový;N;N;N;N;N;Y;Y;N;N;N;N;N
230;ODS;12.03.2023;23.06.2023;https://www.facebook.com/photo.php?fbid=751730086310281&set=pb.100044198901294.-2207520000.&type=3;Sloupcový;N;N;N;N;N;Y;N;Y;N;N;N;N
231;ODS;26.05.2023;23.06.2023;https://www.facebook.com/photo.php?fbid=792538728896083&set=pb.100044198901294.-2207520000.&type=3;Liniový;Y;N;N;N;N;N;N;N;N;N;N;N
232;ODS;10.06.2023;23.06.2023;https://www.facebook.com/photo.php?fbid=801440821339207&set=pb.100044198901294.-2207520000.&type=3;Sloupcový;N;N;N;N;N;Y;Y;N;N;N;N;N
233;ANO;13.06.2023;19.11.2023;https://www.facebook.com/photo.php?fbid=639085291578544&set=pb.100064312374919.-2207520000&type=3 ;Sloupcový;N;N;N;N;N;N;Y;N;N;N;N;N
234;ANO;12.06.2023;19.11.2023;https://www.facebook.com/photo.php?fbid=638474381639635&set=pb.100064312374919.-2207520000&type=3 ;Sloupcový;N;N;N;N;N;Y;N;N;N;N;N;N
235;ANO;15.05.2023;19.11.2023;https://www.facebook.com/photo.php?fbid=620423486778058&set=pb.100064312374919.-2207520000&type=3 ;Sloupcový;N;N;N;N;Y;N;N;N;Y;N;N;N
236;ANO;17.04.2023;19.11.2023;https://www.facebook.com/photo.php?fbid=602982705188803&set=pb.100064312374919.-2207520000&type=3 ;Sloupcový;N;N;N;N;Y;N;N;N;Y;N;N;N
237;ANO;21.03.2023;19.11.2023;https://www.facebook.com/photo.php?fbid=587580526729021&set=pb.100064312374919.-2207520000&type=3 ;Liniový;Y;N;N;N;N;N;Y;N;N;N;N;N
238;ANO;14.03.2023;19.11.2023;https://www.facebook.com/photo.php?fbid=583520210468386&set=pb.100064312374919.-2207520000&type=3 ;Sloupcový;N;N;N;N;Y;Y;Y;N;N;N;N;N
239;ANO;14.02.2023;19.11.2023;https://www.facebook.com/anobudelip/photos/pb.100064312374919.-2207520000/8586484438088380/?type=3 ;Sloupcový;N;N;N;N;N;N;Y;N;N;N;Y;N
240;ANO;17.01.2023;19.11.2023;https://www.facebook.com/anobudelip/photos/pb.100064312374919.-2207520000/8440184332718392/?type=3 ;Sloupcový;N;N;N;N;N;N;N;N;N;N;Y;N
241;ANO;14.01.2023;19.11.2023;https://www.facebook.com/anobudelip/photos/pb.100064312374919.-2207520000/8425969177473241/?type=3 ;Geovizualizace;X;X;X;X;N;X;Y;Y;N;N;N;N
242;ANO;04.01.2023;19.11.2023;https://www.facebook.com/anobudelip/photos/pb.100064312374919.-2207520000/8376199535783539/?type=3 ;Sloupcový;N;N;N;N;N;N;N;N;Y;N;N;N
243;ANO;11.12.2022;19.11.2023;https://www.facebook.com/anobudelip/photos/pb.100064312374919.-2207520000/8254453421291485/?type=3 ;Sloupcový;N;N;N;N;N;Y;N;N;N;Y;N;Y
244;ANO;12.09.2022;19.11.2023;https://www.facebook.com/anobudelip/photos/pb.100064312374919.-2207520000/7820647951338703/?type=3 ;Sloupcový;N;N;N;N;N;Y;N;N;N;N;N;N
245;ANO;12.08.2022;19.11.2023;https://www.facebook.com/anobudelip/photos/pb.100064312374919.-2207520000/7675816675821832/?type=3 ;Sloupcový;N;N;N;N;Y;Y;Y;N;N;N;N;N
246;ANO;12.08.2022;19.11.2023;https://www.facebook.com/anobudelip/photos/pb.100064312374919.-2207520000/7676565295746970/?type=3 ;Liniový;Y;N;N;N;N;N;N;Y;N;N;N;N
247;ANO;21.08.2022;19.11.2023;https://www.facebook.com/anobudelip/photos/pb.100064312374919.-2207520000/7720838464652986/?type=3 ;Sloupcový;N;N;N;N;Y;Y;Y;Y;N;N;N;N
248;ANO;19.07.2022;19.11.2023;https://www.facebook.com/anobudelip/photos/pb.100064312374919.-2207520000/7568589959877838/?type=3 ;Sloupcový;N;N;N;N;N;Y;Y;N;N;N;N;N
249;ANO;16.02.2022;19.11.2023;https://www.facebook.com/anobudelip/photos/pb.100064312374919.-2207520000/6851510158252492/?type=3 ;Sloupcový;N;N;N;N;N;Y;Y;N;N;N;N;N
250;ANO;18.01.2022;19.11.2023;https://www.facebook.com/anobudelip/photos/pb.100064312374919.-2207520000/6671031279633715/?type=3 ;Sloupcový;N;N;N;N;N;N;Y;N;N;N;Y;N
251;ANO;20.12.2021;19.11.2023;https://www.facebook.com/anobudelip/photos/pb.100064312374919.-2207520000/6460868470649998/?type=3 ;Sloupcový;N;N;N;N;N;N;N;N;N;N;N;N
252;ANO;17.12.2021;19.11.2023;https://www.facebook.com/anobudelip/photos/pb.100064312374919.-2207520000/6457167027686809/?type=3 ;Sloupcový;N;N;N;N;N;N;Y;N;Y;N;Y;N
253;ANO;13.12.2021;19.11.2023;https://www.facebook.com/anobudelip/photos/pb.100064312374919.-2207520000/6428206713916174/?type=3 ;Sloupcový;N;N;N;N;N;N;Y;N;Y;N;Y;N
254;ANO;24.11.2021;19.11.2023;https://www.facebook.com/anobudelip/photos/pb.100064312374919.-2207520000/6322778454459001/?type=3 ;Sloupcový;N;N;N;N;N;Y;N;N;N;N;N;N
255;ANO;10.05.2018;19.11.2023;https://www.facebook.com/anobudelip/photos/pb.100064312374919.-2207520000/1864915470245344/?type=3 ;Sloupcový;N;N;N;N;N;N;N;N;N;N;N;N
256;ANO;11.09.2017;19.11.2023;https://www.facebook.com/anobudelip/photos/pb.100064312374919.-2207520000/1559818517421709/?type=3 ;Sloupcový;N;N;N;N;N;Y;N;N;N;N;N;N
257;ANO;26.02.2017;19.11.2023;https://www.facebook.com/anobudelip/photos/pb.100064312374919.-2207520000/1325586797511550/?type=3 ;Sloupcový;N;N;N;N;N;Y;Y;N;N;N;N;N
258;ANO;07.05.2016;19.11.2023;https://www.facebook.com/anobudelip/photos/pb.100064312374919.-2207520000/1012578735479026/?type=3 ;Sloupcový;N;N;N;N;Y;N;Y;N;N;Y;N;N
259;ANO;06.01.2016;19.11.2023;https://www.facebook.com/anobudelip/photos/pb.100064312374919.-2207520000/934156569987910/?type=3 ;Sloupcový;N;N;N;N;N;N;N;N;N;N;N;N
260;ANO;06.12.2015;19.11.2023;https://www.facebook.com/anobudelip/photos/pb.100064312374919.-2207520000/917856184951282/?type=3 ;Sloupcový;N;N;N;N;N;N;N;N;N;N;N;N
261;ANO;05.05.2015;19.11.2023;https://www.facebook.com/anobudelip/photos/pb.100064312374919.-2207520000/816606335076268/?type=3 ;Sloupcový;N;N;N;N;N;N;Y;N;N;N;Y;N
262;ANO;16.01.2015;19.11.2023;https://www.facebook.com/anobudelip/photos/pb.100064312374919.-2207520000/762593453810890/?type=3 ;Sloupcový;N;N;N;N;N;N;Y;Y;N;Y;Y;N
263;ANO;23.11.2014;19.11.2023;https://www.facebook.com/anobudelip/photos/pb.100064312374919.-2207520000/731695276900708/?type=3 ;Sloupcový;N;N;N;N;N;N;N;N;N;N;N;Y
264;ANO;23.10.2014;19.11.2023;https://www.facebook.com/anobudelip/photos/pb.100064312374919.-2207520000/715651655171737/?type=3 ;Sloupcový;N;N;N;N;N;N;N;N;N;Y;N;N
265;ANO;21.10.2014;19.11.2023;https://www.facebook.com/anobudelip/photos/pb.100064312374919.-2207520000/714704345266468/?type=3 ;Sloupcový;N;N;N;N;N;Y;N;N;N;Y;N;N
266;ANO;04.07.2013;19.11.2023;https://www.facebook.com/anobudelip/photos/pb.100064312374919.-2207520000/518885958181642/?type=3 ;Sloupcový;N;N;N;N;N;Y;N;N;N;N;N;N
267;ANO;09.09.2013;19.11.2023;https://www.facebook.com/anobudelip/photos/pb.100064312374919.-2207520000/521459921257579/?type=3 ;Sloupcový;N;N;N;N;N;N;N;N;N;Y;N;N
268;ANO;10.09.2013;19.11.2023;https://www.facebook.com/anobudelip/photos/pb.100064312374919.-2207520000/521752644561640/?type=3 ;Sloupcový;N;N;N;N;N;Y;N;N;N;Y;N;N
269;ANO;24.09.2013;19.11.2023;https://www.facebook.com/anobudelip/photos/pb.100064312374919.-2207520000/527849740618597/?type=3 ;Sloupcový;N;N;N;N;N;N;Y;N;N;Y;N;N
270;ANO;06.10.2013;19.11.2023;https://www.facebook.com/anobudelip/photos/pb.100064312374919.-2207520000/532723100131261/?type=3 ;Sloupcový;N;N;N;N;N;N;N;N;N;N;N;N
271;ANO;17.10.2013;19.11.2023;https://www.facebook.com/anobudelip/photos/pb.100064312374919.-2207520000/539275086142729/?type=3 ;Sloupcový;N;N;N;N;N;N;Y;N;N;N;N;N
272;ANO;19.10.2013;19.11.2023;https://www.facebook.com/anobudelip/photos/pb.100064312374919.-2207520000/540663322670572/?type=3 ;Sloupcový;N;N;N;N;N;N;Y;Y;Y;N;N;N
273;ANO;20.10.2013;19.11.2023;https://www.facebook.com/anobudelip/photos/pb.100064312374919.-2207520000/541203659283205/?type=3 ;Sloupcový;N;N;N;N;N;N;Y;N;N;N;N;N
274;ANO;28.10.2013;19.11.2023;https://www.facebook.com/anobudelip/photos/pb.100064312374919.-2207520000/545304415539796/?type=3 ;Sloupcový;N;N;N;M;N;N;Y;N;N;N;Y;Y
275;ANO;17.12.2013;19.11.2023;https://www.facebook.com/anobudelip/photos/pb.100064312374919.-2207520000/569064759830428/?type=3 ;Sloupcový;N;N;N;N;N;Y;N;N;N;Y;N;N
276;ANO;11.01.2014;19.11.2023;https://www.facebook.com/anobudelip/photos/pb.100064312374919.-2207520000/579627775440793/?type=3 ;Sloupcový;N;N;N;N;N;Y;N;N;N;Y;N;N
277;ANO;07.02.2014;19.11.2023;https://www.facebook.com/anobudelip/photos/pb.100064312374919.-2207520000/591912680878969/?type=3 ;Sloupcový;N;N;N;N;N;N;N;N;N;N;N;N
278;ANO;10.03.2014;19.11.2023;https://www.facebook.com/anobudelip/photos/pb.100064312374919.-2207520000/605802692823301/?type=3 ;Sloupcový;N;N;N;N;N;N;N;N;N;M;N;N
279;ANO;19.03.2014;19.11.2023;https://www.facebook.com/anobudelip/photos/pb.100064312374919.-2207520000/609901732413397/?type=3 ;Sloupcový;N;N;N;N;N;N;Y;N;N;Y;N;N
280;ANO;20.03.2014;19.11.2023;https://www.facebook.com/anobudelip/photos/pb.100064312374919.-2207520000/610282282375342/?type=3 ;Sloupcový;M;N;N;N;N;N;N;N;N;M;N;N
281;ANO;24.03.2014;19.11.2023;https://www.facebook.com/anobudelip/photos/pb.100064312374919.-2207520000/612090075527896/?type=3 ;Sloupcový;N;N;N;N;N;Y;N;N;N;N;N;Y
282;ANO;26.03.2014;19.11.2023;https://www.facebook.com/anobudelip/photos/pb.100064312374919.-2207520000/613476858722551/?type=3 ;Sloupcový;N;N;N;N;N;N;Y;N;N;N;N;N
283;ANO;28.03.2014;19.11.2023;https://www.facebook.com/anobudelip/photos/pb.100064312374919.-2207520000/614400431963527/?type=3 ;Sloupcový;N;N;N;N;N;Y;Y;Y;N;N;N;N
284;ANO;02.04.2014;19.11.2023;https://www.facebook.com/anobudelip/photos/pb.100064312374919.-2207520000/616747311728839/?type=3 ;Sloupcový;N;N;N;N;N;N;N;N;N;M;N;N
285;ANO;06.04.2014;19.11.2023;https://www.facebook.com/anobudelip/photos/pb.100064312374919.-2207520000/618935488176688/?type=3 ;Sloupcový;N;N;N;N;N;N;Y;N;N;N;N;N
286;ANO;10.04.2014;19.11.2023;https://www.facebook.com/anobudelip/photos/pb.100064312374919.-2207520000/620815597988677/?type=3 ;Sloupcový;N;N;N;N;N;Y;N;N;N;Y;N;N
287;ANO;17.04.2014;19.11.2023;https://www.facebook.com/anobudelip/photos/pb.100064312374919.-2207520000/624304350973135/?type=3 ;Sloupcový;N;N;N;N;N;Y;N;N;N;Y;N;N
288;ANO;22.04.2014;19.11.2023;https://www.facebook.com/anobudelip/photos/pb.100064312374919.-2207520000/626756257394611/?type=3 ;Sloupcový;N;N;N;N;N;N;Y;N;N;N;N;N
289;ANO;23.04.2014;19.11.2023;https://www.facebook.com/anobudelip/photos/pb.100064312374919.-2207520000/627354560668114/?type=3 ;Sloupcový;N;N;N;N;N;N;Y;Y;N;Y;N;N
290;ANO;28.04.2014;19.11.2023;https://www.facebook.com/anobudelip/photos/pb.100064312374919.-2207520000/629756490427921/?type=3 ;Sloupcový;N;N;N;N;N;N;N;N;N;N;N;N
291;ANO;02.05.2014;19.11.2023;https://www.facebook.com/anobudelip/photos/pb.100064312374919.-2207520000/631489916921245/?type=3 ;Sloupcový;N;N;N;Y;N;Y;N;N;N;N;N;N
292;ANO;04.05.2014;19.11.2023;https://www.facebook.com/anobudelip/photos/pb.100064312374919.-2207520000/632411013495802/?type=3 ;Sloupcový;N;N;N;N;N;Y;Y;Y;N;N;N;N
293;ANO;06.05.2014;19.11.2023;https://www.facebook.com/anobudelip/photos/pb.100064312374919.-2207520000/633308636739373/?type=3 ;Jiný;N;N;N;N;N;N;Y;N;N;N;M;M
294;ANO;06.05.2014;19.11.2023;https://www.facebook.com/anobudelip/photos/pb.100064312374919.-2207520000/633315973405306/?type=3 ;Sloupcový;N;N;N;N;N;Y;Y;N;N;M;M;M
295;ANO;19.05.2014;19.11.2023;https://www.facebook.com/anobudelip/photos/pb.100064312374919.-2207520000/639798422757061/?type=3 ;Sloupcový;N;N;N;N;N;Y;N;N;N;N;N;N
296;ANO;20.05.2014;19.11.2023;https://www.facebook.com/anobudelip/photos/pb.100064312374919.-2207520000/640182489385321/?type=3 ;Sloupcový;M;N;N;N;N;N;N;N;N;M;N;N
297;ANO;26.05.2014;19.11.2023;https://www.facebook.com/anobudelip/photos/pb.100064312374919.-2207520000/643363215733915/?type=3 ;Sloupcový;N;N;N;N;N;N;Y;N;N;Y;N;N
298;ANO;04.06.2014;20.11.2023;https://www.facebook.com/anobudelip/photos/pb.100064312374919.-2207520000/647563205313916/?type=3 ;Sloupcový;N;N;N;N;N;N;N;N;N;N;N;N
299;ANO;21.06.2014;20.11.2023;https://www.facebook.com/anobudelip/photos/pb.100064312374919.-2207520000/670539749682928/?type=3 ;Sloupcový;M;N;N;N;N;N;N;N;N;M;N;N
300;ANO;23.07.2014;20.11.2023;https://www.facebook.com/anobudelip/photos/pb.100064312374919.-2207520000/671571306246439/?type=3 ;Sloupcový;N;N;N;N;N;N;Y;N;N;Y;Y;N
301;ANO;07.08.2014;20.11.2023;https://www.facebook.com/anobudelip/photos/pb.100064312374919.-2207520000/678735148863388/?type=3 ;Sloupcový;N;N;N;N;N;Y;N;N;N;Y;N;N
302;ANO;12.09.2014;20.11.2023;https://www.facebook.com/anobudelip/photos/pb.100064312374919.-2207520000/695204980549738/?type=3 ;Sloupcový;N;N;N;N;N;Y;N;N;N;Y;N;N
303;SPD;21.08.2015;25.11.2023;https://www.facebook.com/hnutispd/photos/pb.100044215100797.-2207520000/1007528662611312/?type=3 ;Sloupcový;N;N;N;N;N;Y;N;Y;N;Y;N;N
304;SPD;17.08.2016;25.11.2023;https://www.facebook.com/hnutispd/photos/pb.100044215100797.-2207520000/1281115475252628/?type=3 ;Sloupcový;N;N;N;N;N;N;N;N;N;N;N;N
305;SPD;08.11.2016;25.11.2023;https://www.facebook.com/hnutispd/photos/pb.100044215100797.-2207520000/1303073423056833/?type=3;Liniový;Y;N;N;N;N;N;N;N;N;N;N;N
306;SPD;16.02.2017;25.11.2023;https://www.facebook.com/hnutispd/photos/pb.100044215100797.-2207520000/1419778468052994/?type=3 ;Sloupcový;N;N;N;N;N;Y;N;N;N;M;N;N
307;SPD;14.06.2017;25.11.2023;https://www.facebook.com/hnutispd/photos/pb.100044215100797.-2207520000/1542404749123698/?type=3 ;Sloupcový;M;N;N;N;N;N;N;N;N;N;N;N
308;SPD;14.06.2017;25.11.2023;https://www.facebook.com/hnutispd/photos/pb.100044215100797.-2207520000/1542517122445794/?type=3 ;Sloupcový;M;N;N;N;N;N;N;N;N;N;N;N
