Pořadové číslo;Politický subjekt;Datum publikování;Datum sběru;Odkaz na zdroj;Typ vizualizace;Manipulace osou;;;Porušení konvence;;Chybějící prvky;;;;Přebývající a zmatečné prvky;;
;;;;;;Podseknutá osa;Dvojitá osa;Převrácená osa;Nevhodné řazení;Nevhodné barvy;Chybějící osa či její popis;Neuvedení zdroje;Chybějící název (téma);Absence legendy;3D efekt;Nevhodná vizualizace;Zmatečná vizualizace
37;ODS;21.06.2021;20.02.2023;https://www.facebook.com/ods.cz/photos/10159490494377700 ;Sloupcový;Y;N;N;N;N;Y;Y;N;N;N;N;N
38;ODS;16.06.2021;20.02.2023;https://www.facebook.com/ods.cz/photos/10159475190767700 ;Sloupcový;Y;N;N;N;N;Y;Y;N;N;N;N;N
39;ODS;14.06.2021;20.02.2023;https://www.facebook.com/ods.cz/photos/10159473384702700 ;Sloupcový;N;N;N;N;N;Y;N;N;Y;N;N;N
40;ODS;08.06.2021;20.02.2023;https://www.facebook.com/ods.cz/photos/10159458131007700 ;Sloupcový;Y;N;N;N;N;Y;Y;N;N;N;N;N
41;ODS;07.06.2021;20.02.2023;https://www.facebook.com/ods.cz/photos/10159455842497700 ;Sloupcový;N;N;N;N;N;Y;N;N;N;N;N;N
42;ODS;04.06.2021;20.02.2023;https://www.facebook.com/ods.cz/photos/10159448481727700 ;Sloupcový;N;N;N;N;N;Y;N;N;N;N;N;N
43;ODS;09.05.2021;20.02.2023;https://www.facebook.com/ods.cz/photos/10159388179617700 ;Sloupcový;Y;N;N;N;N;Y;Y;Y;N;N;N;N
44;ODS;01.02.2021;20.02.2023;https://www.facebook.com/ods.cz/photos/10159145471637700 ;Liniový;Y;N;N;N;N;Y;Y;Y;Y;N;N;N
45;ODS;11.01.2021;20.02.2023;https://www.facebook.com/ods.cz/photos/10159082627117700 ;Sloupcový;N;N;N;N;N;Y;N;Y;N;N;N;N
46;ODS;21.11.2020;20.02.2023;https://www.facebook.com/ods.cz/photos/10158962125917700 ;Sloupcový;Y;N;N;N;N;Y;Y;N;N;N;N;Y
47;ODS;07.09.2020;20.02.2023;https://www.facebook.com/ods.cz/photos/10158748616192700 ;Sloupcový;Y;N;N;N;N;Y;Y;N;N;N;N;N
48;ODS;29.05.2020;21.02.2023;https://www.facebook.com/ods.cz/photos/10158476365552700 ;Sloupcový;N;N;N;N;N;Y;N;N;N;N;Y;N
49;ODS;25.05.2020;21.02.2023;https://www.facebook.com/ods.cz/photos/10158464911612700 ;Koláčový;X;X;X;N;N;X;N;N;N;N;N;N
50;ODS;24.05.2020;21.02.2023;https://www.facebook.com/ods.cz/photos/10158446370067700 ;Sloupcový;Y;N;N;N;N;Y;Y;Y;N;N;Y;Y
51;ODS;16.05.2020;21.02.2023;https://www.facebook.com/ods.cz/photos/10158433655222700 ;Sloupcový;Y;N;N;N;N;Y;Y;N;N;N;N;N
52;ODS;03.04.2020;21.02.2023;https://www.facebook.com/ods.cz/photos/10158278291207700 ;Liniový;N;N;N;N;N;N;Y;N;N;N;N;Y
53;ODS;18.02.2020;21.02.2023;https://www.facebook.com/ods.cz/photos/10158126264507700 ;Sloupcový;Y;N;N;N;N;Y;N;Y;N;N;N;N
54;ODS;11.12.2019;21.02.2023;https://www.facebook.com/ods.cz/photos/10157908229102700 ;Sloupcový;Y;N;N;N;N;Y;N;Y;N;N;N;N
55;ODS;06.11.2019;21.02.2023;https://www.facebook.com/ods.cz/photos/10157806507497700 ;Sloupcový;Y;N;N;N;N;Y;N;N;N;N;N;N
56;ODS;05.11.2019;21.02.2023;https://www.facebook.com/ods.cz/photos/10157803005592700;Sloupcový;Y;N;N;N;N;Y;N;Y;N;N;N;N
57;ODS;04.11.2019;21.02.2023;https://www.facebook.com/ods.cz/photos/10157800115417700 ;Sloupcový;Y;N;N;N;N;Y;N;N;N;N;N;N
58;ODS;14.10.2019;21.02.2023;https://www.facebook.com/ods.cz/photos/10157733014067700 ;Sloupcový;N;N;N;N;N;Y;N;N;N;N;N;N
59;ODS;30.09.2019;21.02.2023;https://www.facebook.com/ods.cz/photos/10157694377307700 ;Liniový;M;N;N;N;N;Y;N;N;Y;N;N;N
60;ODS;22.09.2019;21.02.2023;https://www.facebook.com/ods.cz/photos/10157670619962700;Sloupcový;N;N;N;N;N;Y;N;N;N;N;N;N
61;ODS;21.09.2019;21.02.2023;https://www.facebook.com/ods.cz/photos/10157667449622700 ;Sloupcový;Y;N;N;N;N;Y;N;N;N;N;N;N
62;ODS;16.09.2019;21.02.2023;https://www.facebook.com/ods.cz/photos/10157654436502700 ;Sloupcový;Y;N;N;N;N;Y;Y;N;N;N;N;N
63;ODS;02.06.2019;21.02.2023;https://www.facebook.com/ods.cz/photos/10157384027517700 ;Sloupcový;N;N;N;N;N;Y;Y;N;N;N;N;N
64;ODS;29.05.2019;21.02.2023;https://www.facebook.com/ods.cz/photos/10157373715737700 ;Sloupcový;N;N;N;N;N;Y;Y;Y;N;N;N;N
65;ODS;28.05.2019;21.02.2023;https://www.facebook.com/ods.cz/photos/10157370758212700 ;Sloupcový;Y;N;N;N;N;Y;N;N;N;N;N;N
66;ODS;19.04.2019;21.02.2023;https://www.facebook.com/ods.cz/photos/10157273415512700 ;Geovizualizace;X;X;X;X;N;X;N;N;N;N;N;N
67;ODS;05.04.2019;21.02.2023;https://www.facebook.com/ods.cz/photos/10157240281487700 ;Geovizualizace;X;X;X;X;N;X;Y;N;N;N;N;N
68;ODS;31.03.2019;21.02.2023;https://www.facebook.com/ods.cz/photos/10157228288857700 ;Sloupcový;N;N;N;N;N;Y;N;Y;N;N;N;N
69;ODS;04.03.2019;21.02.2023;https://www.facebook.com/ods.cz/photos/10157168071367700 ;Sloupcový;N;N;N;N;N;Y;N;Y;N;N;N;N
70;ODS;17.01.2019;21.02.2023;https://www.facebook.com/ods.cz/photos/10157057248942700 ;Sloupcový;N;N;N;N;N;N;N;N;Y;N;N;N
71;ODS;19.12.2018;21.02.2023;https://www.facebook.com/ods.cz/photos/10156987962872700 ;Sloupcový;Y; N;N;N;N;Y;N;N;N;N;N;N
72;ODS;03.12.2018;23.02.2023;https://www.facebook.com/ods.cz/photos/10156949077637700 ;Sloupcový;Y;N;N;N;N;Y;N;Y;N;N;N;N
73;ODS;21.11.2018;23.02.2023;https://www.facebook.com/ods.cz/photos/10156919475577700 ;Koláčový;X;X;X;Y;Y;X;N;N;N;N;N;N
